PassengerId,Pclass,Sex,SibSp,Parch,Cabin,Embarked,Title,Age_Bin,Fare_Bin,Num_Family
52,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
53,1,female,1,0,D,C,Mrs,"(40, 50]","(20, 40]",2
54,2,female,1,0,M,S,Mrs,"(20, 30]","(0, 20]",2
55,1,male,0,1,B,C, Mr,"(60, 70]","(20, 40]",2
56,1,male,0,0,C,S, Mr,"(30, 40]","(20, 40]",1
57,2,female,0,0,M,S,Ms,"(20, 30]","(0, 20]",1
58,3,male,0,0,M,C, Mr,"(20, 30]","(0, 20]",1
59,2,female,1,2,M,S,Ms,"(0, 10]","(0, 20]",4
60,3,male,5,2,M,S,Nobility,"(10, 20]","(0, 20]",8
61,3,male,0,0,M,C, Mr,"(20, 30]","(0, 20]",1
62,1,female,0,0,B,C,Ms,"(30, 40]","(20, 40]",1
63,1,male,1,0,C,S, Mr,"(40, 50]","(40, 60]",2
64,3,male,3,2,M,S,Nobility,"(0, 10]","(0, 20]",6
65,1,male,0,0,M,C, Mr,"(30, 40]","(20, 40]",1
66,3,male,1,1,M,C,Nobility,"(20, 30]","(0, 20]",3
67,2,female,0,0,F,S,Mrs,"(20, 30]","(0, 20]",1
68,3,male,0,0,M,S, Mr,"(10, 20]","(0, 20]",1
69,3,female,4,2,M,S,Ms,"(10, 20]","(0, 20]",7
70,3,male,2,0,M,S, Mr,"(20, 30]","(0, 20]",3
71,2,male,0,0,M,S, Mr,"(30, 40]","(0, 20]",1
72,3,female,5,2,M,S,Ms,"(10, 20]","(0, 20]",8
73,2,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
74,3,male,1,0,M,C, Mr,"(20, 30]","(0, 20]",2
75,3,male,0,0,M,S, Mr,"(30, 40]","(0, 20]",1
76,3,male,0,0,F,S, Mr,"(20, 30]","(0, 20]",1
77,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
78,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
79,2,male,0,2,M,S,Nobility,"(0, 10]","(0, 20]",3
80,3,female,0,0,M,S,Ms,"(20, 30]","(0, 20]",1
81,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
82,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
83,3,female,0,0,M,Q,Ms,"(20, 30]","(0, 20]",1
84,1,male,0,0,M,S, Mr,"(20, 30]","(20, 40]",1
85,2,female,0,0,M,S,Ms,"(10, 20]","(0, 20]",1
86,3,female,3,0,M,S,Mrs,"(30, 40]","(0, 20]",4
87,3,male,1,3,M,S, Mr,"(10, 20]","(0, 20]",5
88,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
89,1,female,3,2,C,S,Ms,"(20, 30]","(40, 60]",6
90,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
91,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
92,3,male,0,0,M,S, Mr,"(10, 20]","(0, 20]",1
93,1,male,1,0,E,S, Mr,"(40, 50]","(20, 40]",2
94,3,male,1,2,M,S, Mr,"(20, 30]","(0, 20]",4
95,3,male,0,0,M,S, Mr,"(50, 60]","(0, 20]",1
96,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
97,1,male,0,0,A,C, Mr,"(70, 80]","(20, 40]",1
98,1,male,0,1,D,C, Mr,"(20, 30]","(20, 40]",2
99,2,female,0,1,M,S,Mrs,"(30, 40]","(0, 20]",2
100,2,male,1,0,M,S, Mr,"(30, 40]","(0, 20]",2
101,3,female,0,0,M,S,Ms,"(20, 30]","(0, 20]",1
102,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
103,1,male,0,1,D,S, Mr,"(20, 30]","(20, 40]",2
104,3,male,0,0,M,S, Mr,"(30, 40]","(0, 20]",1
105,3,male,2,0,M,S, Mr,"(30, 40]","(0, 20]",3
106,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
107,3,female,0,0,M,S,Ms,"(20, 30]","(0, 20]",1
108,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
109,3,male,0,0,M,S, Mr,"(30, 40]","(0, 20]",1
110,3,female,1,0,M,Q,Ms,"(20, 30]","(0, 20]",2
111,1,male,0,0,C,S, Mr,"(40, 50]","(20, 40]",1
112,3,female,1,0,M,C,Ms,"(10, 20]","(0, 20]",2
113,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
114,3,female,1,0,M,S,Ms,"(10, 20]","(0, 20]",2
115,3,female,0,0,M,C,Ms,"(10, 20]","(0, 20]",1
116,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
117,3,male,0,0,M,Q, Mr,"(70, 80]","(0, 20]",1
118,2,male,1,0,M,S, Mr,"(20, 30]","(0, 20]",2
119,1,male,0,1,B,C, Mr,"(20, 30]","(80, 150]",2
120,3,female,4,2,M,S,Ms,"(0, 10]","(0, 20]",7
121,2,male,2,0,M,S, Mr,"(20, 30]","(0, 20]",3
122,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
123,2,male,1,0,M,C, Mr,"(30, 40]","(0, 20]",2
124,2,female,0,0,E,S,Ms,"(30, 40]","(0, 20]",1
125,1,male,0,1,D,S, Mr,"(50, 60]","(20, 40]",2
126,3,male,1,0,M,C,Nobility,"(10, 20]","(0, 20]",2
127,3,male,0,0,M,Q, Mr,"(20, 30]","(0, 20]",1
128,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
129,3,female,1,1,F,C,Ms,"(20, 30]","(0, 20]",3
130,3,male,0,0,M,S, Mr,"(40, 50]","(0, 20]",1
131,3,male,0,0,M,C, Mr,"(30, 40]","(0, 20]",1
132,3,male,0,0,M,S, Mr,"(10, 20]","(0, 20]",1
133,3,female,1,0,M,S,Mrs,"(40, 50]","(0, 20]",2
134,2,female,1,0,M,S,Mrs,"(20, 30]","(0, 20]",2
135,2,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
136,2,male,0,0,M,C, Mr,"(20, 30]","(0, 20]",1
137,1,female,0,2,D,S,Ms,"(10, 20]","(20, 40]",3
138,1,male,1,0,C,S, Mr,"(30, 40]","(20, 40]",2
139,3,male,0,0,M,S, Mr,"(10, 20]","(0, 20]",1
140,1,male,0,0,B,C, Mr,"(20, 30]","(20, 40]",1
141,3,female,0,2,M,C,Mrs,"(20, 30]","(0, 20]",3
142,3,female,0,0,M,S,Ms,"(20, 30]","(0, 20]",1
143,3,female,1,0,M,S,Mrs,"(20, 30]","(0, 20]",2
144,3,male,0,0,M,Q, Mr,"(10, 20]","(0, 20]",1
145,2,male,0,0,M,S, Mr,"(10, 20]","(0, 20]",1
146,2,male,1,1,M,S, Mr,"(10, 20]","(0, 20]",3
147,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
148,3,female,2,2,M,S,Ms,"(0, 10]","(0, 20]",5
149,2,male,0,2,F,S, Mr,"(30, 40]","(0, 20]",3
150,2,male,0,0,M,S, Rev,"(40, 50]","(0, 20]",1
151,2,male,0,0,M,S, Rev,"(50, 60]","(0, 20]",1
152,1,female,1,0,C,S,Mrs,"(20, 30]","(20, 40]",2
153,3,male,0,0,M,S, Mr,"(50, 60]","(0, 20]",1
154,3,male,0,2,M,S, Mr,"(40, 50]","(0, 20]",3
155,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
156,1,male,0,1,M,C, Mr,"(50, 60]","(20, 40]",2
157,3,female,0,0,M,Q,Ms,"(10, 20]","(0, 20]",1
158,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
159,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
160,3,male,8,2,M,S,Nobility,"(20, 30]","(0, 20]",11
161,3,male,0,1,M,S, Mr,"(40, 50]","(0, 20]",2
162,2,female,0,0,M,S,Mrs,"(30, 40]","(0, 20]",1
163,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
164,3,male,0,0,M,S, Mr,"(10, 20]","(0, 20]",1
165,3,male,4,1,M,S,Nobility,"(0, 10]","(0, 20]",6
166,3,male,0,2,M,S,Nobility,"(0, 10]","(0, 20]",3
167,1,female,0,1,E,S,Mrs,"(30, 40]","(20, 40]",2
168,3,female,1,4,M,S,Mrs,"(40, 50]","(0, 20]",6
169,1,male,0,0,M,S, Mr,"(30, 40]","(20, 40]",1
170,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
171,1,male,0,0,B,S, Mr,"(60, 70]","(20, 40]",1
172,3,male,4,1,M,Q,Nobility,"(0, 10]","(0, 20]",6
173,3,female,1,1,M,S,Ms,"(0, 10]","(0, 20]",3
174,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
175,1,male,0,0,A,C, Mr,"(50, 60]","(20, 40]",1
176,3,male,1,1,M,S, Mr,"(10, 20]","(0, 20]",3
177,3,male,3,1,M,S,Nobility,"(20, 30]","(0, 20]",5
178,1,female,0,0,C,C,Ms,"(40, 50]","(20, 40]",1
179,2,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
180,3,male,0,0,M,S, Mr,"(30, 40]",,1
181,3,female,8,2,M,S,Ms,"(20, 30]","(0, 20]",11
182,2,male,0,0,M,C, Mr,"(20, 30]","(0, 20]",1
183,3,male,4,2,M,S,Nobility,"(0, 10]","(0, 20]",7
184,2,male,2,1,F,S,Nobility,"(0, 10]","(0, 20]",4
185,3,female,0,2,M,S,Ms,"(0, 10]","(0, 20]",3
186,1,male,0,0,A,S, Mr,"(30, 40]","(40, 60]",1
187,3,female,1,0,M,Q,Mrs,"(20, 30]","(0, 20]",2
188,1,male,0,0,M,S, Mr,"(40, 50]","(20, 40]",1
189,3,male,1,1,M,Q, Mr,"(30, 40]","(0, 20]",3
190,3,male,0,0,M,S, Mr,"(30, 40]","(0, 20]",1
191,2,female,0,0,M,S,Mrs,"(30, 40]","(0, 20]",1
192,2,male,0,0,M,S, Mr,"(10, 20]","(0, 20]",1
193,3,female,1,0,M,S,Ms,"(10, 20]","(0, 20]",2
194,2,male,1,1,F,S,Nobility,"(0, 10]","(0, 20]",3
195,1,female,0,0,B,C,Mrs,"(40, 50]","(20, 40]",1
196,1,female,0,0,B,C,Ms,"(50, 60]","(40, 60]",1
197,3,male,0,0,M,Q, Mr,"(20, 30]","(0, 20]",1
198,3,male,0,1,M,S, Mr,"(40, 50]","(0, 20]",2
199,3,female,0,0,M,Q,Ms,"(20, 30]","(0, 20]",1
200,2,female,0,0,M,S,Ms,"(20, 30]","(0, 20]",1
201,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
202,3,male,8,2,M,S, Mr,"(20, 30]","(0, 20]",11
203,3,male,0,0,M,S, Mr,"(30, 40]","(0, 20]",1
204,3,male,0,0,M,C, Mr,"(40, 50]","(0, 20]",1
205,3,male,0,0,M,S, Mr,"(10, 20]","(0, 20]",1
206,3,female,0,1,G,S,Ms,"(0, 10]","(0, 20]",2
207,3,male,1,0,M,S, Mr,"(30, 40]","(0, 20]",2
208,3,male,0,0,M,C, Mr,"(20, 30]","(0, 20]",1
209,3,female,0,0,M,Q,Ms,"(10, 20]","(0, 20]",1
210,1,male,0,0,A,C, Mr,"(30, 40]","(20, 40]",1
211,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
212,2,female,0,0,M,S,Ms,"(30, 40]","(0, 20]",1
213,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
214,2,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
215,3,male,1,0,M,Q, Mr,"(20, 30]","(0, 20]",2
216,1,female,1,0,D,C,Ms,"(30, 40]","(20, 40]",2
217,3,female,0,0,M,S,Ms,"(20, 30]","(0, 20]",1
218,2,male,1,0,M,S, Mr,"(40, 50]","(0, 20]",2
219,1,female,0,0,D,C,Ms,"(30, 40]","(20, 40]",1
220,2,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
221,3,male,0,0,M,S, Mr,"(10, 20]","(0, 20]",1
222,2,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
223,3,male,0,0,M,S, Mr,"(50, 60]","(0, 20]",1
224,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
225,1,male,1,0,C,S, Mr,"(30, 40]","(40, 60]",2
226,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
227,2,male,0,0,M,S, Mr,"(10, 20]","(0, 20]",1
228,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
229,2,male,0,0,M,S, Mr,"(10, 20]","(0, 20]",1
230,3,female,3,1,M,S,Ms,"(20, 30]","(0, 20]",5
231,1,female,1,0,C,S,Mrs,"(30, 40]","(40, 60]",2
232,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
233,2,male,0,0,M,S, Mr,"(50, 60]","(0, 20]",1
234,3,female,4,2,M,S,Ms,"(0, 10]","(0, 20]",7
235,2,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
236,3,female,0,0,M,S,Ms,"(20, 30]","(0, 20]",1
237,2,male,1,0,M,S, Mr,"(40, 50]","(0, 20]",2
238,2,female,0,2,M,S,Ms,"(0, 10]","(0, 20]",3
239,2,male,0,0,M,S, Mr,"(10, 20]","(0, 20]",1
240,2,male,0,0,M,S, Mr,"(30, 40]","(0, 20]",1
241,3,female,1,0,M,C,Ms,"(20, 30]","(0, 20]",2
242,3,female,1,0,M,Q,Ms,"(20, 30]","(0, 20]",2
243,2,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
244,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
245,3,male,0,0,M,C, Mr,"(20, 30]","(0, 20]",1
246,1,male,2,0,C,Q, Dr,"(40, 50]","(20, 40]",3
247,3,female,0,0,M,S,Ms,"(20, 30]","(0, 20]",1
248,2,female,0,2,M,S,Mrs,"(20, 30]","(0, 20]",3
249,1,male,1,1,D,S, Mr,"(30, 40]","(20, 40]",3
250,2,male,1,0,M,S, Rev,"(50, 60]","(0, 20]",2
251,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
252,3,female,1,1,G,S,Mrs,"(20, 30]","(0, 20]",3
253,1,male,0,0,C,S, Mr,"(60, 70]","(20, 40]",1
254,3,male,1,0,M,S, Mr,"(20, 30]","(0, 20]",2
255,3,female,0,2,M,S,Mrs,"(40, 50]","(0, 20]",3
256,3,female,0,2,M,C,Mrs,"(20, 30]","(0, 20]",3
257,1,female,0,0,M,C,Mrs,"(30, 40]","(20, 40]",1
258,1,female,0,0,B,S,Ms,"(20, 30]","(20, 40]",1
259,1,female,0,0,M,C,Ms,"(30, 40]","(80, 150]",1
260,2,female,0,1,M,S,Mrs,"(40, 50]","(0, 20]",2
261,3,male,0,0,M,Q, Mr,"(20, 30]","(0, 20]",1
262,3,male,4,2,M,S,Nobility,"(0, 10]","(0, 20]",7
263,1,male,1,1,E,S, Mr,"(50, 60]","(20, 40]",3
264,1,male,0,0,B,S, Mr,"(30, 40]",,1
265,3,female,0,0,M,Q,Ms,"(20, 30]","(0, 20]",1
266,2,male,0,0,M,S, Mr,"(30, 40]","(0, 20]",1
267,3,male,4,1,M,S, Mr,"(10, 20]","(0, 20]",6
268,3,male,1,0,M,S, Mr,"(20, 30]","(0, 20]",2
269,1,female,0,1,C,S,Mrs,"(50, 60]","(40, 60]",2
270,1,female,0,0,C,S,Ms,"(30, 40]","(20, 40]",1
271,1,male,0,0,M,S, Mr,"(30, 40]","(0, 20]",1
272,3,male,0,0,M,S, Mr,"(20, 30]",,1
273,2,female,0,1,M,S,Mrs,"(40, 50]","(0, 20]",2
274,1,male,0,1,C,C, Mr,"(30, 40]","(20, 40]",2
275,3,female,0,0,M,Q,Ms,"(20, 30]","(0, 20]",1
276,1,female,1,0,D,S,Ms,"(60, 70]","(20, 40]",2
277,3,female,0,0,M,S,Ms,"(40, 50]","(0, 20]",1
278,2,male,0,0,M,S, Mr,"(20, 30]",,1
279,3,male,4,1,M,Q,Nobility,"(0, 10]","(0, 20]",6
280,3,female,1,1,M,S,Mrs,"(30, 40]","(0, 20]",3
281,3,male,0,0,M,Q, Mr,"(60, 70]","(0, 20]",1
282,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
283,3,male,0,0,M,S, Mr,"(10, 20]","(0, 20]",1
284,3,male,0,0,M,S, Mr,"(10, 20]","(0, 20]",1
285,1,male,0,0,A,S, Mr,"(30, 40]","(20, 40]",1
286,3,male,0,0,M,C, Mr,"(30, 40]","(0, 20]",1
287,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
288,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
289,2,male,0,0,M,S, Mr,"(40, 50]","(0, 20]",1
290,3,female,0,0,M,Q,Ms,"(20, 30]","(0, 20]",1
291,1,female,0,0,M,S,Ms,"(20, 30]","(20, 40]",1
292,1,female,1,0,B,C,Mrs,"(10, 20]","(40, 60]",2
293,2,male,0,0,D,C, Mr,"(30, 40]","(0, 20]",1
294,3,female,0,0,M,S,Ms,"(20, 30]","(0, 20]",1
295,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
296,1,male,0,0,M,C, Mr,"(30, 40]","(20, 40]",1
297,3,male,0,0,M,C, Mr,"(20, 30]","(0, 20]",1
298,1,female,1,2,C,S,Ms,"(0, 10]","(20, 40]",4
299,1,male,0,0,C,S, Mr,"(30, 40]","(20, 40]",1
300,1,female,0,1,B,C,Mrs,"(40, 50]","(80, 150]",2
301,3,female,0,0,M,Q,Ms,"(20, 30]","(0, 20]",1
302,3,male,2,0,M,Q, Mr,"(20, 30]","(0, 20]",3
303,3,male,0,0,M,S, Mr,"(10, 20]",,1
304,2,female,0,0,E,Q,Ms,"(20, 30]","(0, 20]",1
305,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
306,1,male,1,2,C,S,Nobility,"(0, 10]","(20, 40]",4
307,1,female,0,0,M,C,Ms,"(30, 40]","(20, 40]",1
308,1,female,1,0,C,C,Mrs,"(10, 20]","(20, 40]",2
309,2,male,1,0,M,C, Mr,"(20, 30]","(0, 20]",2
310,1,female,0,0,E,C,Ms,"(20, 30]","(20, 40]",1
311,1,female,0,0,C,C,Ms,"(20, 30]","(20, 40]",1
312,1,female,2,2,B,C,Ms,"(10, 20]","(20, 40]",5
313,2,female,1,1,M,S,Mrs,"(20, 30]","(0, 20]",3
314,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
315,2,male,1,1,M,S, Mr,"(40, 50]","(0, 20]",3
316,3,female,0,0,M,S,Ms,"(20, 30]","(0, 20]",1
317,2,female,1,0,M,S,Mrs,"(20, 30]","(0, 20]",2
318,2,male,0,0,M,S, Dr,"(50, 60]","(0, 20]",1
319,1,female,0,2,C,S,Ms,"(30, 40]","(40, 60]",3
320,1,female,1,1,E,C,Mrs,"(30, 40]","(20, 40]",3
321,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
322,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
323,2,female,0,0,M,Q,Ms,"(20, 30]","(0, 20]",1
324,2,female,1,1,M,S,Mrs,"(20, 30]","(0, 20]",3
325,3,male,8,2,M,S, Mr,"(20, 30]","(0, 20]",11
326,1,female,0,0,C,C,Ms,"(30, 40]","(20, 40]",1
327,3,male,0,0,M,S, Mr,"(60, 70]","(0, 20]",1
328,2,female,0,0,D,S,Mrs,"(30, 40]","(0, 20]",1
329,3,female,1,1,M,S,Mrs,"(30, 40]","(0, 20]",3
330,1,female,0,1,B,C,Ms,"(10, 20]","(20, 40]",2
331,3,female,2,0,M,Q,Ms,"(20, 30]","(0, 20]",3
332,1,male,0,0,C,S, Mr,"(40, 50]","(20, 40]",1
333,1,male,0,1,C,S, Mr,"(30, 40]","(40, 60]",2
334,3,male,2,0,M,S, Mr,"(10, 20]","(0, 20]",3
335,1,female,1,0,M,S,Mrs,"(30, 40]","(60, 80]",2
336,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
337,1,male,1,0,C,S, Mr,"(20, 30]","(20, 40]",2
338,1,female,0,0,E,C,Ms,"(40, 50]","(20, 40]",1
339,3,male,0,0,M,S, Mr,"(40, 50]","(0, 20]",1
340,1,male,0,0,M,S, Mr,"(40, 50]","(20, 40]",1
341,2,male,1,1,F,S,Nobility,"(0, 10]","(0, 20]",3
342,1,female,3,2,C,S,Ms,"(20, 30]","(40, 60]",6
343,2,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
344,2,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
345,2,male,0,0,M,S, Mr,"(30, 40]","(0, 20]",1
346,2,female,0,0,F,S,Ms,"(20, 30]","(0, 20]",1
347,2,female,0,0,M,S,Ms,"(30, 40]","(0, 20]",1
348,3,female,1,0,M,S,Mrs,"(20, 30]","(0, 20]",2
349,3,male,1,1,M,S,Nobility,"(0, 10]","(0, 20]",3
350,3,male,0,0,M,S, Mr,"(40, 50]","(0, 20]",1
351,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
352,1,male,0,0,C,S, Mr,"(30, 40]","(20, 40]",1
353,3,male,1,1,M,C, Mr,"(10, 20]","(0, 20]",3
354,3,male,1,0,M,S, Mr,"(20, 30]","(0, 20]",2
355,3,male,0,0,M,C, Mr,"(20, 30]","(0, 20]",1
356,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
357,1,female,0,1,E,S,Ms,"(20, 30]","(20, 40]",2
358,2,female,0,0,M,S,Ms,"(30, 40]","(0, 20]",1
359,3,female,0,0,M,Q,Ms,"(20, 30]","(0, 20]",1
360,3,female,0,0,M,Q,Ms,"(20, 30]","(0, 20]",1
361,3,male,1,4,M,S, Mr,"(30, 40]","(0, 20]",6
362,2,male,1,0,M,C, Mr,"(20, 30]","(0, 20]",2
363,3,female,0,1,M,C,Mrs,"(40, 50]","(0, 20]",2
364,3,male,0,0,M,S, Mr,"(30, 40]","(0, 20]",1
365,3,male,1,0,M,Q, Mr,"(20, 30]","(0, 20]",2
366,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
367,1,female,1,0,D,C,Mrs,"(50, 60]","(20, 40]",2
368,3,female,0,0,M,C,Mrs,"(20, 30]","(0, 20]",1
369,3,female,0,0,M,Q,Ms,"(20, 30]","(0, 20]",1
370,1,female,0,0,B,C,Mrs,"(20, 30]","(20, 40]",1
371,1,male,1,0,E,C, Mr,"(20, 30]","(20, 40]",2
372,3,male,1,0,M,S, Mr,"(10, 20]","(0, 20]",2
373,3,male,0,0,M,S, Mr,"(10, 20]","(0, 20]",1
374,1,male,0,0,M,C, Mr,"(20, 30]","(20, 40]",1
375,3,female,3,1,M,S,Ms,"(0, 10]","(0, 20]",5
376,1,female,1,0,M,C,Mrs,"(30, 40]","(40, 60]",2
377,3,female,0,0,M,S,Ms,"(20, 30]","(0, 20]",1
378,1,male,0,2,C,C, Mr,"(20, 30]","(40, 60]",3
379,3,male,0,0,M,C, Mr,"(10, 20]","(0, 20]",1
380,3,male,0,0,M,S, Mr,"(10, 20]","(0, 20]",1
381,1,female,0,0,M,C,Ms,"(40, 50]","(40, 60]",1
382,3,female,0,2,M,C,Ms,"(0, 10]","(0, 20]",3
383,3,male,0,0,M,S, Mr,"(30, 40]","(0, 20]",1
384,1,female,1,0,M,S,Mrs,"(30, 40]","(20, 40]",2
385,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
386,2,male,0,0,M,S, Mr,"(10, 20]","(0, 20]",1
387,3,male,5,2,M,S,Nobility,"(0, 10]","(0, 20]",8
388,2,female,0,0,M,S,Ms,"(30, 40]","(0, 20]",1
389,3,male,0,0,M,Q, Mr,"(20, 30]","(0, 20]",1
390,2,female,0,0,M,C,Ms,"(10, 20]","(0, 20]",1
391,1,male,1,2,B,S, Mr,"(30, 40]","(20, 40]",4
392,3,male,0,0,M,S, Mr,"(20, 30]","(0, 20]",1
393,3,male,2,0,M,S, Mr,"(20, 30]","(0, 20]",3
394,1,female,1,0,D,C,Ms,"(20, 30]","(20, 40]",2
